feature,coef
no,3.155447179007093
sonos,3.0220297787893973
not,2.9402451647153143
after,2.508962299052878
terrible,2.2371959634615495
poor,2.1012021053094565
stopped,2.039510560957878
months,1.9470887067770475
at all,1.8729570438115297
working,1.8682567703494113
returning,1.8663913166324695
disappointed,1.851278979275532
como,1.8245353719912099
sound like,1.6256151812421291
the speaker,1.6246404928565603
low,1.5836197979499085
too,1.5471715765910288
didn,1.5255518050476162
device,1.4660720515674808
tinny,1.4649548401030787
then,1.440648213169373
charge,1.4270700613709306
worked,1.4169694454579596
useless,1.4159205968176738
speaker was,1.409381493467413
is not,1.4092980666559323
barely hear,1.3945562751584966
stopped working,1.3938368450537004
worst,1.3908108410919748
not work,1.376408999082121
waste,1.3706535843728584
earbud,1.3652981603813963
product,1.362642219747614
bad,1.3509902733497794
damage,1.3447604559777802
money,1.3427163464168037
sounds like,1.3296484912676017
is terrible,1.3281722789291945
they,1.323131284289418
hear you,1.315473211971314
